5,100,499500499.500500
5,200,523080946.776514
5,300,467633686.945226
5,400,413439363.303381
5,500,417067051.035661
5,600,451211691.396270
5,700,438923983.612652
5,800,424900673.243498
5,900,469806399.807180
5,1000,467540312.494594
5,1100,483568920.287969
5,1200,471041189.117313
5,1300,451524702.532155
5,1400,459928865.229445
5,1500,475190614.795282
5,1600,464912051.204796
5,1700,470668550.043405
5,1800,462965921.477026
5,1900,445356338.800793
5,2000,452949874.273854
10,100,518134715.025907
10,200,624024960.998440
10,300,552226290.061972
10,400,592861576.085446
10,500,565983486.865787
10,600,520662591.357001
10,700,495681573.001395
10,800,447512742.532022
10,900,584607032.205111
10,1000,581812765.670254
10,1100,566473252.865191
10,1200,580679404.985072
10,1300,585249579.510031
10,1400,563478907.273940
10,1500,560297610.168829
10,1600,535939022.804951
10,1700,520300592.468074
10,1800,519808241.384972
10,1900,491125461.718976
10,2000,540463122.849970
15,100,647039792.947266
15,200,632536074.322989
15,300,598709448.522075
15,400,588073141.596986
15,500,591924726.116429
15,600,571872604.787050
15,700,572832858.895234
15,800,541799228.465200
15,900,592035057.571146
15,1000,590097224.418695
15,1100,595294135.011010
15,1200,594695645.231009
15,1300,580749566.089935
15,1400,581337765.398221
15,1500,549286188.357476
15,1600,611793271.229944
15,1700,605217745.654440
15,1800,617873811.669583
15,1900,600163599.049591
15,2000,609601745.655559
20,100,684462696.783025
20,200,677420720.606292
20,300,610493708.523170
20,400,609512199.767624
20,500,631381690.436083
20,600,628089560.918872
20,700,619236966.461007
20,800,616182616.308982
20,900,621122775.268578
20,1000,624701704.935893
20,1100,620283069.977111
20,1200,610870957.752334
20,1300,620323310.702497
20,1400,621361474.546937
20,1500,541176517.749588
20,1600,545073963.915332
20,1700,589838934.832282
20,1800,597884307.643667
20,1900,559513485.119278
20,2000,581429807.849440
25,100,563697857.948140
25,200,655442218.671910
25,300,587339569.284316
25,400,611363723.205074
25,500,598476995.741238
25,600,614687619.166871
25,700,620019395.942036
25,800,608108870.491220
25,900,617745044.163686
25,1000,607428055.461826
25,1100,595166896.021303
25,1200,609492958.645656
25,1300,618905579.432390
25,1400,623698662.627778
25,1500,625653924.212640
25,1600,620707772.038706
25,1700,616449438.190969
25,1800,581120315.670295
25,1900,596152854.148062
25,2000,563799895.718162
30,100,680735194.009530
30,200,597907324.364723
30,300,624219725.343321
30,400,583672669.071276
30,500,594387554.951129
30,600,596639758.029431
30,700,603661745.268823
30,800,611311896.822014
30,900,602898627.433872
30,1000,588196542.345445
30,1100,601111084.515496
30,1200,615563058.521950
30,1300,616877337.156457
30,1400,625250504.655086
30,1500,629038016.355175
30,1600,589077643.338511
30,1700,584910963.883980
30,1800,565790457.874077
30,1900,579225122.781328
30,2000,626960869.099426
