508776392.775375,629128656.810318
535582781.013590,565071516.863853
479173691.589614,476543471.354442
433968916.976322,532554472.417423
422337961.594275,507385503.387306
331051225.579225,580593657.014297
249107606.497133,587891492.027472
238700981.797651,569146585.815244
237688494.067325,578094500.608427
233180596.156508,567293649.062505
225841626.989551,528136040.860509
206014109.820542,487120620.988584
208661305.707855,536155998.211675
207448991.286840,535117265.566374
200407953.398946,567456877.690849
